ID,MEDICINE,SIZE,COST,SIG,TYPE,percentage
8074,NALTREXONE 0.5MG CAPSULE NEW,30 CAPS,$35,1C PO HS,CAPSULE
5755*,NALTREXONE 1.5 MG CAPSULE NEW,30 CAPS,$35,1C PO HS,CAPSULE
5937,NALTREXONE 1MG CAPSULE NEW,30 CAPS,$35,1C PO HS,CAPSULE
7331,NALTREXONE 2.5MG CAPSULE NEW,30 CAPS,$35,1C PO HS,CAPSULE
1342,NALTREXONE 2MG CAPSULE NEW,30 CAPS,$35,1C PO HS,CAPSULE
5884,NALTREXONE 3.5MG CAPSULE NEW,30 CAPS,$35,1C PO HS,CAPSULE
9458,NALTREXONE 3MG CAPSULE TOP MOVER,30 CAPS,$35,1C PO HS,CAPSULE
6483,NALTREXONE 4 MG CAPSULE NEW,30 CAPS,$35,1C PO HS,CAPSULE
3483,NALTREXONE 7.5MG CAPSULE NEW,30 CAPS,$35,1C PO HS,CAPSULE
2170,NALTREXONE 9MG CAPSULE NEW,30 CAPS,$35,1C PO HS,CAPSULE
2050,NALTREXONE 5MG CAPSULE NEW,30 CAPS,$35,1C PO HS,CAPSULE
9632,NALTREXONE 4.5 MG CAPSULE TOP MOVER,30 CAPS,$35,1C PO HS,TOP MOVER
7283,NALTREXONE 6MG CAPSULE NEW,30 CAPS,$35,1C PO HS,CAPSULE
2310,NALTREXONE 0.1% CREAM NEW,30GM,$35,AAA QD-BID,CREAM
4303,NALTREXONE 0.2% CREAM NEW,30GM,$35,AAA QD-BID,CREAM
1596,NALTREXONE 0.4% CREAM NEW,30GM,$35,AAA QD-BID,CREAM
5366,NALTREXONE 1% VANISHING CREAM NEW,30GM,$35,AAA QD-BID,CREAM
7765,NALTREXONE 0.2%/DIPHENHYDRAMINE 2% SOLUTION NEW,30ML,$35,AAA QD-BID,SOLUTION
