ID,MEDICINE,SIZE,COST,SIG,TYPE,percentage
4208,KETOCONAZOLE 2%/TACROLIMUS 0.1%/NIACINAMIDE CREAM,30GM,$35,AAA QD-BID,CREAM
9082,KETOCONAZOLE 2%/HYDROCORTISONE 2.5% TOPICAL CREAM TOP MOVER,30GM,$35,AAA QD-BID,TOP MOVER
6193,KETOCONAZOLE 2%/SALICYLIC ACID 6% SHAMPOO,120ML,$35,TIW UD,SHAMPOO
7696,KETOCONAZOLE 2%/SAL ACID 6%/UREA 40% TOPICAL CREAM,30GM,$35,AAA QD,CREAM
3949,KETOCONAZOLE 2%/TACROLIMUS 0.03% SHAMPOO,120ML,$35,TIW UD,SHAMPOO
3645,KETOCONAZOLE 2%/TACROLIMUS 0.15% CERAVE CREAM,30GM,$35,AAA QD-BID,CREAM
9396,CICLOPIROX 0.77% CLOTRIMAZOLE 2% TOPICAL CREAM TOP MOVER,30GM,$35,AAA QD-BID,TOP MOVER
2471,CICLOPIROX 1%/CLOBETASOLASOL 0.025% SHAMPOO TOP MOVER,120ML,$35,TIW UD,SHAMPOO TOP MOVER
5666,CICLOPIROX 0.77%/HYDROCORTISONE 2.5% 1:1 CREAM,30GM,$35,AAA QD-BID,CREAM
725,CICLOPIROX 1%/ZINC2% SHAMPOO 120ML TOP MOVER,120ML,$35,TIW UD,TOP MOVER
3813,CICLOPIROX 1%/SALICYLIC ACID 6% SHAMPOO 120ML,120ML,$35,TIW UD,SHAMPOO
