ID,MEDICINE,SIZE,COST,SIG,TYPE,percentage
7771,DPCP DIPHENYLCYCLOPROPENONE 0.01% TOPICAL SOLUTION TOP MOVER,15ML,$35,UAD,TOP MOVER
1429,DPCP DIPHENYLCYCLOPROPENONE 0.009% TOPICAL SOLUTION,15ML,$35,UAD,SOLUTION
7869,DPCP DIPHENYLCYCLOPROPENONE 2% TOPICAL OINTMENT,30GM,$35,UAD,OINTMENT
6023,DPCP DIPHENYLCYCLOPROPENONE 2% SOLUTION TOP MOVER,5ML,$35,UAD,TOP MOVER
4038,DIPHENYLCYCLOPROPENONE 0.5% TOPICAL OINTMENT,30GM,$35,UAD,OINTMENT
4488,DIPHENYLCYCLOPROPENONE 0.1% TOPICAL OINTMENT,30GM,$35,UAD,OINTMENT
6027,DIPHENYLCYCLOPROPENONE 0.1% TOPICAL SOLUTION,15ML,$35,UAD,SOLUTION
3081,DIPHENYLCYCLOPROPENONE 0.001% SOLUTION,15ML,$35,UAD,SOLUTION
7392,DIPHENYLCYCLOPROPENONE 0.005% SOLUTION,15ML,$35,UAD,SOLUTION
7381,DIPHENYLCYCLOPROPENONE 0.005% TOPICAL OINTMENT,30GM,$35,UAD,OINTMENT
1043,DIPHENYLCYCLOPROPENONE 0.01% OINTMENT,30GM,$35,UAD,OINTMENT
8917,DIPHENYLCYCLOPROPENONE 0.05% TOPICAL SOLUTION,15ML,$35,UAD,SOLUTION
9328,CANTHARIDIN 0.7% TOPICAL LIQUID TOP MOVER,2ML,$35,OFFICE PROCEDURE,TOP MOVER
9821,CANTHARIDIN PLUS TOPICAL LIQUID TOP MOVER,2ML,$35,OFFICE PROCEDURE,TOP MOVER
9570,CIMETIDINE 5%/DEOXY 0.2%/TEA TREE OIL 10%/IBUPROFEN 2% TOPICAL GEL,15GM,$35,AAA QD HS,GEL
7816,CIMETIDINE 5%/SALICYLIC 30% ADHESIVE PEEL,1 KIT,$35,AAA QD HS,ADHESIVE PEEL
7489,CIMETIDINE 5%/SALICYLIC ACID 15%/FLUOROURACIL 5% ADHESIVE PEEL TOP MOVER,1 KIT,$35,AAA QD HS,TOP MOVER
1879,CIMETIDINE 5%/SALICYLIC ADHESIVE 20% ADHESIVE PEEL TOP MOVER,1 KIT,$35,AAA QD HS,TOP MOVER
8552,DINITROCHLOROBENZENE 0.5% OINTMENT,30 GM,$35,UAD,OINTMENT
7251,FLUOROURACIL 5%/SALACYLIC ACID 20% SOLUTION TOP MOVER,30ML,$35,AAA QD HS,TOP MOVER
7792,FLUOROURACIL 5%/SALICYLIC 80% ADHESIVE PEEL,1 KIT,$35,AAA QD HS,ADHESIVE PEEL
7893,FLUOROURACIL 5%/SALICYLIC 20% ADHESVIE PEEL TOP MOVER,1 KIT,$35,AAA QD HS,TOP MOVER
6862*,IMIQUIMOD 5% CREAM,12 PAK,$35,UAD,CREAM
7553,SALICYLIC ACID 40%/CIMETIDINE 5% TRANSDERMAL SOLUTION,15GM,$35,AAA QD HS,SOLUTION
9041,SQUARIC ACID DIBUTYL ESTER 0.4% SOLUTION TOP MOVER,15ML,$35,UAD,TOP MOVER
9806,SQUARIC ACID DIBUTYL ESTER 2% SOLUTION,15ML,$35,UAD,SOLUTION
8999,SQUARIC ACID DIBUTYL ESTER 4% SOLUTION,15ML,$35,UAD,SOLUTION
8534,TRICHLOROACETIC ACID 20%/SALICYLIC ACID 60% TOPICAL PASTE,1 KIT,$35,AAA QD HS,PASTE
3438,CIDOFOVIR 1% ADHESIVE GEL TOP MOVER,1 KIT/5GM,$65,AAA QD UD UNTIL CLEAR,TOP MOVER
3117,CIDOFOVIR 2% ADHESIVE GEL NEW,1 KIT/5GM,$125,AAA QD UD UNTIL CLEAR,GEL
3293,CIDOFOVIR 3% ADHESIVE GEL NEW,1 KIT/5GM,$165,AAA QD UD UNTIL CLEAR,GEL
