ID,MEDICINE,SIZE,COST,SIG,TYPE,percentage
7823,AZELAIC 15%/ IVERMECTIN 1%/ METRONIDAZOLE 1% (TRIPLE ROSACEA) CREAM TOP MOVER,30 GM,$35,AAA QD,TOP MOVER
7175,BRIMONIDINE 0.4%/NIACINAMID 4% GEL TOP MOVER,30 GM,$35,AAA QD,TOP MOVER
6707,IVERMECTIN 1%/KETOTIFEN 0.05% TOPICAL CREAM,30 GM,$35,AAA QD,CREAM
7703,IVERMECTIN 1%/METRONIDAZOLE 0.75% CREAM TOP MOVER,30 GM,$35,AAA QD,TOP MOVER
7732,IVERMECTIN 1%/METRONIDAZOLE 1% (DOUBLE ROSACEA) CREAM,30 GM,$35,AAA QD,CREAM
7658,IVERMECTIN 1%/METRONIDAZOLE 1% / NIACINAMIDE 4% CREAM,30 GM,$35,AAA QD,CREAM
2166,IVERMECTIN 1%/NIACINAMIDE 4% (CLARIFYING�) TOP MOVER,30 GM,$35,AAA QD,TOP MOVER
6707,KETOTIFEN 0.05% TOPICAL CREAM,30 GM,$35,AAA QD,CREAM
7676,METRONIDAZOLE 0.75%/NIACINAMIDE 2% ULTRA LOTION,30 GM,$35,AAA QD,LOTION
7589,METRONIDAZOLE 0.75%/VITAMINE E 1% GEL,60 GM,$35,AAA QD,GEL
7783,METRONIDAZOLE 1%/NIACINAMIDE 4% CREAM,60 GM,$35,AAA QD,CREAM
9058,OXYMETAZOLINE 1%/ALOE TOPICAL (CLARIFYING�) TOP MOVER,30 GM,$35,AAA QD,TOP MOVER
7660,OXYMETAZOLINE 0.06%/IVERMECTIN 1% CREAM TOP MOVER,30 GM,$35,AAA QD,TOP MOVER
7736,OXYMETAZOLINE 0.06%/ASCORB 0.06% CREAM,30 GM,$35,AAA QD,CREAM
