ID,MEDICINE,SIZE,COST,SIG,TYPE,percentage
2017,HYDROQUINONE 10%/ASCORBIC ACID 20%/KOJIC ACID 5% CREAM TOP MOVER,30GM,$35,AAA QD HS,TOP MOVER
7320,HYDROQUINONE 12%/KOJIC ACID 6%/ASCORBIC ACID 1%/NIACINAMIDE 2% CREAM TOP MOVER,30GM,$35,AAA QD HS,TOP MOVER
7613,HYDROQUINONE 12%/KOJIC ACID 6%/ASCORBIC ACID 1%/NIACINAMIDE 2% CREAM TOP MOVER,30GM,$35,AAA QD HS,TOP MOVER
8131,HYDROQUINONE 5%/TRETINOIN 0.05%/TRIAMCINOLONE 0.05% CREAM TOP MOVER,30GM,$35,AAA QD HS,TOP MOVER
8145,TRETINOIN 0.05%/HYDROCORTISONE 0.05%/KOJIC ACID 0.05%/HYDROQUINONE 7% GEL,30GM,$35,AAA QD HS,GEL
8218,KOJIC ACID 0.05%/HYDROQUINONE 7%/TRETINOIN 0.05% CREAM,30GM,$35,AAA QD HS,CREAM
8228,KOJIC ACID 0.05%/HYDROQUINONE 7%/HYDROCORTISONE 0.05%/TRETINOIN 0.05% CREAM TOP MOVER,30GM,$35,AAA QD HS,TOP MOVER
8338,HYDROQUINONE 6%/TRETINOIN 0.05%/HYDROCORTISONE 2.5% CREAM TOP MOVER,30GM,$35,AAA QD HS,TOP MOVER
9089,HYDROQUINONE 4%/ASCORBIC ACID 1.67% CREAM,30GM,$35,AAA QD HS,CREAM
9152,HYDROQUINONE 5% CREAM,30GM,$35,AAA QD HS,CREAM
9229,HYDROQUINONE 5%/TRETINOIN 0.1%/TRIAMCINOLONE 0.1% CREAM TOP MOVER,30GM,$35,AAA QD HS,TOP MOVER
9473,HYDROQUINONE 6%/TRETINOIN 0.025%/DEXAMETHASONE 0.1% CREAM,30GM,$35,AAA QD HS,CREAM
7953,HYDROQUINONE 8% CREAM,30GM,$35,AAA QD HS,CREAM
